,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2018-12-12,85.66000366210938,86.05000305175781,84.3499984741211,84.58000183105469,1690600,0,0
1,2018-12-13,84.7699966430664,85.4800033569336,84.7699966430664,85.05000305175781,1934300,0,0
2,2018-12-14,86.36000061035156,86.97000122070312,85.23999786376953,85.86000061035156,2980200,0,0
3,2018-12-17,85.73999786376953,86.94999694824219,84.5,85.01000213623047,3569000,0,0
4,2018-12-18,85.56999969482422,86.55999755859375,85.47000122070312,85.86000061035156,2879200,0,0
5,2018-12-19,85.9000015258789,87.83000183105469,85.5999984741211,86.2300033569336,4222800,0,0
6,2018-12-20,86.2699966430664,86.43000030517578,83.20999908447266,83.7699966430664,3410200,0,0
7,2018-12-21,83.93000030517578,85.58000183105469,83.0199966430664,83.45999908447266,5334000,0,0
8,2018-12-24,83.38999938964844,83.97000122070312,82.20999908447266,83.3499984741211,1474100,0,0
9,2018-12-26,83.91999816894531,88.36000061035156,83.91999816894531,88.0199966430664,3850400,0,0
10,2018-12-27,86.61000061035156,87.7300033569336,85.38999938964844,87.33000183105469,3204400,0,0
11,2018-12-28,87.75,88.63999938964844,87.31999969482422,87.7300033569336,2186500,0,0
12,2018-12-31,88.11000061035156,90.31999969482422,87.87000274658203,90.31999969482422,2598100,0,0
13,2019-01-02,89.80000305175781,91.52999877929688,89.04000091552734,91.19999694824219,3328400,0,0
14,2019-01-03,90.6500015258789,91.81999969482422,90.0999984741211,90.76000213623047,2789000,0,0
15,2019-01-04,91.70999908447266,93.63999938964844,91.37000274658203,92.88999938964844,3271400,0,0
16,2019-01-07,96.2699966430664,98.94000244140625,95.9000015258789,97.95999908447266,6433900,0,0
17,2019-01-08,98.33000183105469,98.9800033569336,96.76000213623047,98.5999984741211,3711100,0,0
18,2019-01-09,98.55999755859375,99.72000122070312,96.94000244140625,97.16999816894531,3258200,0,0
19,2019-01-10,94.01000213623047,96.93000030517578,94.01000213623047,96.41000366210938,3439900,0,0
20,2019-01-11,96.2300033569336,97.5199966430664,96.0,97.27999877929688,1733600,0,0
21,2019-01-14,97.0,97.8499984741211,96.06999969482422,97.2300033569336,2592400,0,0
