,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,2018-12-17,102.20080237375376,104.25464182270211,100.8545006434179,101.33602905273438,2768200,0.0,0
1,2018-12-18,101.78807067639713,103.0164457111169,101.23775356260644,102.54474639892578,2358100,0.0,0
2,2018-12-19,102.20080415983456,104.07776483498655,100.74640480177814,101.23775482177734,2966200,0.0,0
3,2018-12-20,100.7365753361413,101.06086062599869,96.94335287804908,98.60411071777344,3398900,0.0,0
4,2018-12-21,98.88909824936077,101.72910064808717,97.89657664801072,98.01449584960938,4237300,0.0,0
5,2018-12-24,97.78848585105585,99.1446092456229,96.38322445413368,97.13990020751953,1269600,0.0,0
6,2018-12-26,98.39775154124261,104.14655272847958,98.22086523552137,104.1170654296875,2597600,0.0,0
7,2018-12-27,102.30889687234662,105.08011055274625,101.09035098028451,104.61824035644531,2709300,0.0,0
8,2018-12-28,105.04081082946377,106.7113979645617,104.34309467316255,105.21769714355469,2341900,0.0,0
9,2018-12-31,105.72868433247231,106.36744080133069,105.11941516002133,106.21021270751953,1767600,0.0,0
10,2019-01-02,104.64771588087413,106.08245691236223,104.19567480224683,105.84661102294922,2505900,0.0,0
11,2019-01-03,105.14888568670636,107.12411451710388,104.95234871242218,105.97434997558594,2459400,0.0,0
12,2019-01-04,107.41893404341944,109.08952853319411,106.2790059479858,106.88827514648438,2868800,0.0,0
13,2019-01-07,109.21365162946643,112.21890227696773,108.878644025456,111.28284454345703,2795800,0.29,0
14,2019-01-08,112.32727761925787,112.79038251047989,109.47968320030589,111.81491088867188,3094400,0.0,0
15,2019-01-09,112.49478063322363,114.45558675569664,111.36165309134364,113.80526733398438,3050700,0.0,0
16,2019-01-10,111.82476302309693,114.8989860765395,111.24342368120787,114.810302734375,2181500,0.0,0
17,2019-01-11,114.79059431577885,115.51973418337121,113.94321250312487,114.35704803466797,2060800,0.0,0
18,2019-01-14,114.12058157049776,114.27823751093503,111.38137350371677,111.44049072265625,3304100,0.0,0
19,2019-01-15,111.29268565984961,112.57361381306086,110.25809678297779,110.52413177490234,2799000,0.0,0
20,2019-01-16,109.91323329577799,110.9970915261984,109.66690153807113,110.56354522705078,3296400,0.0,0
21,2019-01-17,109.83440826997486,111.11532893387836,109.7161663168281,110.62266540527344,1699900,0.0,0
