,costOfRevenue,date,operatingExpenses,revenue,sym
4,2775000000.0,2019-11-02,1637000000.0,4625000000.0,KSS
3,4400000000.0,2020-02-01,2031000000.0,6832000000.0,KSS
2,1600000000.0,2020-05-02,1546000000.0,2428000000.0,KSS
1,2149000000.0,2020-08-01,1140000000.0,3407000000.0,KSS
0,2424000000.0,2020-10-31,1302000000.0,3979000000.0,KSS
