,costOfRevenue,date,operatingExpenses,revenue,sym
14,3106000000.0,2019-11-02,2210000000.0,5356000000.0,M
13,5266000000.0,2020-02-01,2828000000.0,8577000000.0,M
12,2501000000.0,2020-05-02,4766000000.0,3148000000.0,M
11,2718000000.0,2020-08-01,1678000000.0,3727000000.0,M
10,2569000000.0,2020-10-31,-1726000000.0,195000000.0,M
