,costOfRevenue,date,operatingExpenses,revenue,sym
19,4926307000.0,2019-11-01,1573669000.0,6991393000.0,DG
18,4884879000.0,2020-01-31,1551888000.0,7157642000.0,DG
17,5852757000.0,2020-05-01,1728908000.0000005,8448449000.0,DG
16,5866006000.0,2020-07-31,1775607999.9999993,8684241000.0,DG
15,5631385000.0,2020-10-30,1795110000.0,8199625000.0,DG
