,costOfRevenue,date,operatingExpenses,revenue,sym
24,4041700000.0,2019-11-02,1346100000.0000005,5746200000.0,DLTR
23,4354800000.0,2020-02-01,1711099999.9999995,6315300000.0,DLTR
22,4491900000.0,2020-05-02,1429000000.0,6286800000.0,DLTR
21,4361400000.0,2020-08-01,1541300000.0000002,6277600000.0,DLTR
20,4252000000.0,2020-10-31,1458000000.0,6177000000.0,DLTR
