,costOfRevenue,date,operatingExpenses,revenue,sym
9,12935000000.0,2019-11-02,4728000000.0,18665000000.0,TGT
8,17056000000.0,2020-02-01,5145000000.0,23399000000.0,TGT
7,14510000000.0,2020-05-02,4637000000.0,19615000000.0,TGT
6,15673000000.0,2020-08-01,5002000000.0,22975000000.0,TGT
5,963000000.0,2020-10-31,587000000.0,3017000000.0,TGT
